Gender,Age,Height_cm,Weight_kg,BMI_Category,Goal,Body_Part,Exercise,Equipment,Reps,Sets,Intensity,Calories_Burned_30min,MuscleGain_kg_month
Female,29,159,89,Obese,Fat Loss,Legs,Bodyweight Squat,Bodyweight,10,3,High,108,0.2
Female,37,167,103,Obese,Fat Loss,Cardio,Elliptical,Cardio Machine,13,5,High,125,0.2
Female,30,186,61,Underweight,Muscle Gain,Chest,Chest Press Machine,Machine,14,3,Low,190,0.36
Female,35,156,103,Obese,Fat Loss,Back,Resistance Band Row,Bodyweight,13,3,High,120,0.27
Female,20,167,106,Obese,Fat Loss,Shoulders,Arnold Press,Bodyweight,14,3,High,187,0.19
Male,52,189,73,Normal,Maintenance,Glutes,Cable Kickback,Bodyweight,10,4,Moderate,212,0.16
Male,59,163,100,Obese,Fat Loss,Full Body,Mountain Climbers,Bodyweight,14,3,High,179,0.18
Male,44,173,102,Obese,Fat Loss,Glutes,Glute Bridge,Bodyweight,10,4,High,246,0.2
Female,54,177,63,Normal,Maintenance,Full Body,Mountain Climbers,Bodyweight,13,5,Moderate,205,0.11
Female,22,159,87,Obese,Fat Loss,Chest,Incline Chest Press,Bodyweight,13,5,High,124,0.13
Female,58,184,45,Underweight,Muscle Gain,Legs,Step-Up,Bodyweight,11,3,Low,182,0.23
Female,41,181,117,Obese,Fat Loss,Arms,Triceps Pushdown,Cable,12,3,High,157,0.27
Female,31,185,96,Overweight,Fat Loss,Cardio,Cycling,Cardio Machine,12,3,High,235,0.18
Male,29,176,114,Obese,Fat Loss,Chest,Incline Push-Up,Bodyweight,12,5,High,138,0.28
Female,36,156,105,Obese,Fat Loss,Back,Lat Pulldown,Machine,15,3,High,196,0.22
Male,33,152,68,Overweight,Fat Loss,Shoulders,Shoulder Press,Bodyweight,10,3,High,160,0.17
Female,26,184,113,Obese,Fat Loss,Glutes,Step-Up,Bodyweight,14,5,High,238,0.29
Female,41,180,97,Overweight,Fat Loss,Legs,Bodyweight Squat,Bodyweight,14,5,High,198,0.13
Male,39,160,111,Obese,Fat Loss,Legs,Step-Up,Bodyweight,10,4,High,200,0.21
Male,44,156,93,Obese,Fat Loss,Legs,Seated Leg Extension,Bodyweight,13,4,High,146,0.1
Female,60,150,85,Obese,Fat Loss,Legs,Step-Up,Bodyweight,14,3,High,196,0.16
